heb,eng,ralab
 שם ישוב,city_name,
שם ישוב,city_name,
סמל ישוב,city_code,
קלפי,ballot_code,
בזב,can_vote,
מצביעים,voted,
פסולים,void,
כשרים,legal,
אמת,party_avoda,true
ב,party_bayit_yehudi,false
ג,party_agudat_israel,false
כן,party_kahol_lavan,true
ל,party_israel_beitenu,true
מחל,party_likud,false
מרצ,party_meretz,true
עם,party_raam,unknown
פה,party_yesh_atid,true
שס,party_shas,false
אצ,party_ihud_leumi,false
ד,party_daam,unknown
ום,party_gesher,unknown
ז,party_zehut,unknown
זך,party_zazim,unknown
זנ,party_zionut_datit,false
זץ,party_tzeirim,unknown
ט,party_tzomet,unknown
י,party_yachad,unknown
יז,party_yisrael_zaken,unknown
ינ,party_yemin_hadash,false
יץ,party_yesh_zchuyot,unknown
יק,party_yisrael_kalkalit,unknown
ך,party_kaf,unknown
נז,party_noam,false
ני,party_new_hope,true
נף,party_nofesh,unknown
נץ,party_netzach,unknown
נק,party_nekama,unknown
נר,party_ner,unknown
ף,party_peh_sofit,unknown
צ,party_tzadik,unknown
ץ,party_tzadik_sofit,unknown
ק,party_kuf,unknown
קי,party_kalkala_yehudit,unknown
קך,party_kaf_kuf,unknown
קנ,party_kulanu,unknown
קץ,party_kavod_ezrahi,unknown
רז,party_habayit_hayehudi,false
ת,party_tikva,unknown