city_name,city_name_english
ירושלים (positive control),Jerusalem (positive control)
city_name,city_name_english
ירושלים,Jerusalem
בני ברק,Bnei Brak
בית שמש,Beit Shemesh
מודיעין עילית,Modi'in Illit
ביתר עילית,Beitar Illit
בית"ר עילית,Beitar Illit
אשדוד,Ashdod
אלעד,Elad
פתח תקווה,Petah Tikva
נתיבות,Netivot
צפת,Safed
חיפה,Haifa
נתניה,Netanya
רחובות,Rehovot
רכסים,Rekhasim
קריית גת,Kiryat Gat
גבעת זאב,Givat Ze'ev
טבריה,Tiberias
לוד,Lod
אופקים,Ofakim
ערד,Arad
תל אביב -יפו,Tel Aviv-Yafo
עפולה,Afula
כוכב יעקב,Kokhav Ya'akov
כפר חב"ד,Kfar Chabad
קריית יערים,Kiryat Ye'arim
קרית יערים,Kiryat Ye'arim
חריש,Harish
קריית מלאכי,Kiryat Malakhi
חולון,Holon
חדרה,Hadera
באר שבע,Be'er Sheva
ראש העין,Rosh HaAyin
עמנואל,Immanuel
מגדל העמק,Migdal HaEmek
אשקלון,Ashkelon
קריית אתא,Kiryat Ata
בת ים,Bat Yam
נוף הגליל,Nof HaGalil
ראשון לציון,Rishon LeZion
חצור הגלילית,Hatzor HaGlilit
זכרון יעקב,Zikhron Ya'akov
יבנאל,Yavne'el
רמת גן,Ramat Gan
כרמיאל,Karmiel
תפרח,Tifrah
יבנה,Yavne
גני מודיעין,Ganei Modi'in
אחר,Other